jornada,match,result,liga
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_8/,Espanyol - Levante en directo,0 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_8/,Alavés - R. Sociedad en directo,0 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_8/,Athletic - Sevilla en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_8/,Atlético - Barcelona en directo,1 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_8/,Getafe - Real Madrid en directo,1 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_8/,Eibar - Deportivo en directo,0 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_8/,Girona - Villarreal en directo,1 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_8/,Málaga - Leganés en directo,0 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_8/,Betis - Valencia en directo,3 - 6,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_8/,Las Palmas - Celta en directo,2 - 5,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_4/,Eibar - Leganés en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_4/,Atlético - Málaga en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_4/,Getafe - Barcelona en directo,1 - 2,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_4/,Levante - Valencia en directo,1 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_4/,Betis - Deportivo en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_4/,Alavés - Villarreal en directo,0 - 3,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_4/,Girona - Sevilla en directo,0 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_4/,Las Palmas - Athletic en directo,1 - 0,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_4/,R. Sociedad - Real Madrid en directo,1 - 3,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_4/,Espanyol - Celta en directo,2 - 1,primera
https://resultados.as.com/resultados/futbol/primera/2017_2018/jornada/regular_a_3/,Leganés - Getafe en directo,1 - 2,primera
